quote_date,paper,exch,open,high,low,close,volume,value
20130212,GOOGL,Nasdaq,390.88,393.95,389.69,390.35,3583362,2807985572
20130211,GOOGL,Nasdaq,389.20,391.50,386.88,391.21,4202792,3273630010
20130208,GOOGL,Nasdaq,390.06,393.33,389.78,392.69,5814328,4559097810
20130207,GOOGL,Nasdaq,384.85,389.40,382.75,386.98,5144726,3969731982
20130206,GOOGL,Nasdaq,379.54,386.48,379.25,385.08,4019336,3088911244
20130205,GOOGL,Nasdaq,380.56,385.56,379.73,382.87,3593776,2757424866
20130204,GOOGL,Nasdaq,383.85,385.24,379.13,379.51,5709950,4364709458
20130201,GOOGL,Nasdaq,379.10,388.30,379.05,387.80,7315642,5631517214
20130131,GOOGL,Nasdaq,375.25,378.81,375.12,377.85,3076018,2324135260
20130130,GOOGL,Nasdaq,376.87,380.48,376.45,376.92,3368406,2548676438
20130129,GOOGL,Nasdaq,373.38,378.48,373.27,376.84,3371358,2537870388
20130128,GOOGL,Nasdaq,375.88,377.80,373.94,375.37,3077416,2313261140
20130125,GOOGL,Nasdaq,375.38,379.24,375.12,376.83,4366002,3291684002
20130124,GOOGL,Nasdaq,370.62,378.41,370.25,376.92,6533904,4907911918
20130123,GOOGL,Nasdaq,368.00,374.50,367.89,370.75,11068316,8239079700
20130122,GOOGL,Nasdaq,352.33,352.67,347.76,351.44,5677104,3980384512
20130118,GOOGL,Nasdaq,355.18,356.38,350.67,352.25,6245406,4407170420
20130117,GOOGL,Nasdaq,358.86,359.82,355.51,355.66,4227596,3022035742
20130116,GOOGL,Nasdaq,361.20,362.17,356.83,357.60,3884524,2784351398
20130115,GOOGL,Nasdaq,359.67,367.50,356.05,362.46,7747906,5607338180
20130114,GOOGL,Nasdaq,368.50,371.10,361.18,361.62,5065124,3691852412
20130111,GOOGL,Nasdaq,371.00,371.21,368.15,370.00,2370256,1751943856
20130110,GOOGL,Nasdaq,371.42,372.50,366.75,370.74,3491984,2580137946
20130109,GOOGL,Nasdaq,366.13,369.18,364.30,369.06,3977402,2921016420
20130108,GOOGL,Nasdaq,367.77,368.15,362.21,366.65,3149036,2299804772
20130107,GOOGL,Nasdaq,367.73,369.69,365.29,367.38,3237742,2378922466
20130104,GOOGL,Nasdaq,364.67,370.74,363.84,368.99,5295542,3895282578
20130103,GOOGL,Nasdaq,362.46,365.96,360.36,361.83,4446962,3232475538
20130102,GOOGL,Nasdaq,359.71,363.50,358.27,361.62,4694992,3384229264
20121231,GOOGL,Nasdaq,350.00,355.29,348.00,353.69,3856418,2714732202
20121228,GOOGL,Nasdaq,350.85,353.45,350.00,350.00,2320080,1631826192
20121227,GOOGL,Nasdaq,353.57,354.42,349.31,353.14,3095824,2179739058
20121226,GOOGL,Nasdaq,354.04,356.44,351.20,354.44,2319854,1641988838
20121224,GOOGL,Nasdaq,357.25,357.59,353.74,354.75,1577194,1119537462
20121221,GOOGL,Nasdaq,356.99,359.41,355.26,357.81,6415134,4588768036
20121220,GOOGL,Nasdaq,361.63,362.32,358.49,361.18,3195324,2307166460
20121219,GOOGL,Nasdaq,360.36,361.50,358.34,360.06,3691896,2658837450
20121218,GOOGL,Nasdaq,358.30,364.55,357.52,360.54,5818746,4205717208
20121217,GOOGL,Nasdaq,352.75,369.14,352.01,360.39,5963060,4267340806
20121214,GOOGL,Nasdaq,349.58,353.91,349.21,350.98,4132576,2906342544
20121213,GOOGL,Nasdaq,357.96,358.24,349.77,351.35,6553934,4622656460
20121212,GOOGL,Nasdaq,349.62,351.75,346.74,348.78,4769608,3330604568
20121211,GOOGL,Nasdaq,345.00,350.96,343.86,348.44,5106568,3563761636
20121210,GOOGL,Nasdaq,342.69,345.82,341.89,342.71,2611842,1795245988
20121207,GOOGL,Nasdaq,347.50,348.44,341.21,342.11,3727076,2561607860
20121206,GOOGL,Nasdaq,343.80,347.81,342.25,345.56,2846914,1967156024
20121205,GOOGL,Nasdaq,346.07,347.25,341.17,343.91,3602346,2480876060
20121204,GOOGL,Nasdaq,347.50,347.75,342.85,345.51,3410796,2353820056
20121203,GOOGL,Nasdaq,347.62,347.62,347.06,347.62,4233828,2958224124
20121130,GOOGL,Nasdaq,345.65,349.61,342.85,349.19,5926506,4113263476
20121129,GOOGL,Nasdaq,343.89,346.95,341.00,345.94,5441524,3750480414
20121128,GOOGL,Nasdaq,334.00,342.45,331.94,341.83,5930908,4014836588
20121127,GOOGL,Nasdaq,330.08,337.50,329.00,335.36,4855722,3248123562
20121126,GOOGL,Nasdaq,333.22,333.50,329.51,330.57,4285956,2838231000
20121123,GOOGL,Nasdaq,334.99,335.00,333.05,333.99,1759072,1174826142
20121121,GOOGL,Nasdaq,334.50,334.90,330.20,332.94,4011242,2665322588
20121120,GOOGL,Nasdaq,334.75,339.00,332.29,334.99,4083280,2740665152
20121119,GOOGL,Nasdaq,327.85,334.46,327.76,334.11,4482580,2978381678
20121116,GOOGL,Nasdaq,323.00,326.51,318.00,323.59,6555980,4229135728
20121115,GOOGL,Nasdaq,325.00,330.00,321.95,323.63,3599902,2335077404
20121114,GOOGL,Nasdaq,330.33,331.09,325.25,326.27,3135232,2056260918
20121113,GOOGL,Nasdaq,331.50,333.80,329.12,329.53,3006316,1991743220
